USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
690020,93218,JOLON HUNTER LIGGETT MIL RES,US,CA,KHGT,36,-121.233,317,19640715,19970401
690070,93217,FRITZSCHE AAF,US,CA,KOAR,36.683,-121.767,43,19600404,19930831
690140,93101,EL TORO MCAS,US,CA,KNZJ,33.667,-117.733,116.7,19890101,19990630
690150,93121,TWENTY NINE PALMS,US,CA,KNXP,34.3,-116.167,625.1,19900102,20200211
690190,13910,ABILENE DYESS AFB,US,TX,KDYS,32.433,-99.85,545.3,19431201,20091231
690230,24255,WHIDBEY ISLAND NAS,US,WA,KNUW,48.35,-122.667,14.3,19891201,20090602
690310,3125,YUMA PROVING GROUND,US,AZ,,32.833,-114.4,98.8,19870701,19900420
699604,3145,YUMA MCAS,US,AZ,KNYL,32.65,-114.617,64.9,19870701,20091231
700001,26492,PORTAGE GLACIER,US,AK,PATO,60.785,-148.839,31.4,20060101,20200211
700197,26558,SELAWIK,US,AK,PASK,66.6,-159.986,7.6,20060101,20200211
700260,27502,W POST-WILL ROGERS MEMORIAL AIRPORT,US,AK,PABR,71.283,-156.782,9.5,19450101,20200211
700271,27506,BARROW POINT BARROW,US,AK,KPBA,71.333,-156.65,6.1,19740318,19750302
700300,27503,WAINWRIGHT AIRPORT,US,AK,PAWI,70.639,-159.995,9.1,19991102,20200211
700300,27508,WAINWRIGHT (DEW),US,AK,PAWI,70.617,-159.85,27,19730101,19991231
700450,27512,LONELY,US,AK,LNI,70.917,-153.25,9.1,19730101,19890925
700630,27403,OLIKTOK POW 2,US,AK,POLI,70.5,-149.883,4.9,19730101,19990929
700631,25715,ATKA AIRPORT,US,AK,PAAK,52.22,-174.206,17.1,20060101,20130430
700632,26645,BUCKLAND AIRPORT,US,AK,PABL,65.983,-161.133,9.1,20060101,20200211
700634,27408,UGNU-KUPRAUK AIRPORT,US,AK,PAKU,70.331,-149.598,20.4,20060101,20200211
700635,26465,GALBRAITH LAKE AIRPORT,US,AK,PAGB,68.479,-149.49,812.6,20060105,20200206
700636,27405,PRUDHOE BAY,US,AK,PAUD,70.25,-148.333,14,19730101,19990614
700637,27406,DEADHORSE AIRPORT,US,AK,PASC,70.192,-148.477,18.6,19730101,20200211
700860,27401,BARTER ISLAND AIRPORT,US,AK,PABA,70.134,-143.577,0.6,19471001,20200211
701040,26631,CAPE LISBURNE LRRS AIRPORT,US,AK,PALU,68.867,-166.133,4.9,20060101,20200211
701043,26623,POINT HOPE AIRPORT,US,AK,PAPO,68.35,-166.8,4,20060101,20200211
701045,26649,RED DOG AIRPORT,US,AK,PADG,68.031,-162.903,296.9,20060103,20200211
701046,26418,CENTRAL AIRPORT,US,AK,PACE,65.567,-144.765,280.4,20020902,20130210
701160,26618,WALES,US,AK,,65.617,-168.05,5,19430701,19771221
701170,26634,TIN CITY LRRS AIRPORT,US,AK,PATC,65.563,-167.921,82.6,20060101,20200211
701195,26625,SHISHMAREF/NEW AIRPORT,US,AK,PASH,66.25,-166.089,2.1,20060101,20200116
701196,102,BOB BARKER MEMORIAL AIRPORT,US,AK,PAIK,66.983,-160.433,51.2,20080822,20200211
701210,26624,POINT LAY LRRS AIRPORT,US,AK,PPIZ,69.733,-163.005,7.6,20060101,20200211
701210,26638,POINT LAY,US,AK,PPIZ,69.817,-162.917,6,19730101,19991231
701213,26638,POINT LAY LIZ 2,US,AK,PIZ,69.733,-163.017,6.1,19920318,19960630
701330,26616,RALPH WIEN MEMORIAL AIRPORT,US,AK,PAOT,66.867,-162.633,9.1,19730101,20200211
701333,26643,DEERING AIRPORT,US,AK,PADE,66.069,-162.764,6.4,19990102,20200211
701335,26648,NOATAK AIRPORT,US,AK,PAWN,67.566,-162.975,26.8,20060101,20200211
701337,103,WALES AIRPORT,US,AK,PAIW,65.617,-168.1,7,20090122,20200211
701486,26642,KIVALINA AIRPORT,US,AK,PAVL,67.732,-164.548,3.1,20060101,20200211
701620,26508,UMIAT,US,AK,PAUM,69.367,-152.133,85,19460101,20130411
701625,26542,ANAKTUVUK PASS AIRPORT,US,AK,PAKP,68.167,-151.767,640.1,20060101,20200211
701718,26551,AMBLER AIRPORT,US,AK,PAFM,67.1,-157.85,88.1,20060101,20200211
701719,490,SHUNGNAK AIRPORT,US,AK,PAGH,66.888,-157.162,62.8,20091210,20200211
701730,26535,INDIAN MOUNTAIN LRRS ARPT,US,AK,PAIM,66,-153.7,388.9,20050101,20200211
701740,26533,BETTLES AIRPORT,US,AK,PABT,66.917,-151.515,193.2,19450101,20200211
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,PALR,67.511,-148.493,577.6,20060101,20141009
701747,26467,MERRILL PASS WEST,US,AK,PAER,61.25,-153.82,358,19730825,19750729
701747,26554,MERRILL PASS WEST,US,AK,PAER,61.267,-153.8,356.6,20050101,20140615
701780,26529,RALPH M CALHOUN MEML ARPT,US,AK,PATA,65.175,-152.107,67.7,19430601,20200211
701793,26524,MANLEY HOT SPRINGS,US,AK,PAML,64.999,-150.638,82.9,20060101,20140501
701940,26413,FORT YUKON AIRPORT,US,AK,PFYU,66.567,-145.267,135.6,19730101,20200211
701945,46405,ARCTIC VILLAGE AIRPORT,US,AK,PARC,68.115,-145.579,637.6,20060101,20200205
701975,26422,EAGLE AIRPORT,US,AK,PAEG,64.777,-141.148,276.8,20060101,20200211
701995,26628,CAPE DARBY REMOT COM OUTLT,US,AK,PAGL,64.55,-163.007,7.6,20050101,20200211
702000,26617,NOME AIRPORT,US,AK,PAOM,64.511,-165.44,4,19400101,20200211
702005,26647,ST MARY'S AIRPORT,US,AK,PASM,62.062,-163.3,95.1,20060101,20200211
702006,26502,KALTAG AIRPORT,US,AK,PAKV,64.327,-158.742,55.2,20060101,20200211
702031,26620,MOSES POINT,US,AK,,64.7,-162.05,6.1,19430608,19790128
702035,26704,SAVOONGA AIRPORT,US,AK,PASA,63.687,-170.493,16.8,20060108,20200211
702040,26703,GAMBELL AIRPORT,US,AK,PAGM,63.767,-171.733,8.5,19870603,20200211
702060,26632,NORTHEAST CAPE,US,AK,KOHC,63.317,-168.967,9.1,19520729,19690819
702070,26627,UNALAKLEET AIRPORT,US,AK,PAUN,63.883,-160.8,5.5,19430601,20200211
702075,26644,ANVIK AIRPORT,US,AK,PANV,62.65,-160.183,26.8,20060101,20200211
702084,26650,EMMONAK,US,AK,PAEM,62.785,-164.491,4.3,20060101,20200129
702120,26633,CAPE ROMANZOFF AFS,US,AK,PACZ,61.783,-166.033,146,19530401,19991231
702120,26646,CAPE ROMANZOF LRRS ARPT,US,AK,PACZ,61.783,-166.033,146,20060101,20200211
702185,26622,MEKORYUK AIRPORT,US,AK,PAMY,60.383,-166.2,13.7,20060105,20200211
702186,26651,HOOPER BAY AIRPORT,US,AK,PAHP,61.524,-166.147,5.5,20060101,20200211
702190,26615,BETHEL AIRPORT,US,AK,PABE,60.785,-161.829,31.1,19450101,20200211
702220,26501,GALENA AIRPORT,US,AK,PAGA,64.737,-156.934,46.6,20060101,20200211
702223,26602,KOYUK AIRPORT,US,AK,PAKK,64.935,-161.155,33.5,20060101,20200211
702310,26510,MCGRATH AIRPORT,US,AK,PAMC,62.957,-155.61,101.5,19730101,20200211
702312,26519,FAREWELL LAKE,US,AK,PAFK,62.54,-153.617,321,19970402,19991231
702312,26555,FAREWELL LAKE SEAPLANE BASE,US,AK,PAFK,62.543,-153.623,3207.7,20060101,20140419
702315,26536,TATALINA LRRS AIRPORT,US,AK,PATL,62.894,-155.976,293.8,20060101,20200211
702320,26516,ANIAK AIRPORT,US,AK,PANI,61.582,-159.543,25.9,19730101,20200211
702325,26443,WASILLA AIRPORT,US,AK,PAWS,61.572,-149.541,107.9,20040702,20200211
702350,26534,SPARREVOHN LRRS AIRPORT,US,AK,PASV,61.1,-155.583,484,20060101,20200211
702460,26512,MINCHUMINA,US,AK,PAMH,63.886,-152.302,206.7,19730101,20200211
702490,26526,PUNTILLA LAKE,US,AK,PAPT,62.091,-152.735,566.3,20060101,20200211
702495,26547,HAYES RIVER AIRPORT,US,AK,PAHZ,61.983,-152.083,305.1,20060101,20110127
702510,26528,TALKEETNA AIRPORT,US,AK,PATK,62.32,-150.095,106.7,19730101,20200211
702550,26514,SKWENTNA AIRPORT,US,AK,PASW,61.977,-151.217,45.7,19730101,20161001
702590,26523,KENAI MUNICIPAL AIRPORT,US,AK,PAEN,60.58,-151.239,27.7,19730101,20200211
702595,26559,SOLDOTNA AIRPORT,US,AK,PASX,60.476,-151.034,34.4,20060101,20200211
702600,26435,NENANA MUNICIPAL AIRPORT,US,AK,PANN,64.55,-149.072,109.7,19430706,20200211
702606,96401,CHULITNA,US,AK,PAEC,62.826,-149.907,426.7,20060101,20200211
702607,25378,HOONAH SEAPLANE BASE,US,AK,PAOH,58.096,-135.409,0,20060101,20200211
702610,26411,FAIRBANKS INTERNATIONAL,US,AK,PAFA,64.804,-147.876,131.7,19460101,20200211
702615,26498,WAINWRIGHT AAF AIRPORT,US,AK,PAFB,64.838,-147.614,138.4,20060103,20200211
702625,104,NIKOLAI AIRPORT,US,AK,PAFS,63.017,-154.367,126.2,20061024,20200211
702627,26561,RUBY  AIRPORT,US,AK,PARY,64.727,-155.47,199,20061001,20200211
702628,105,MARSHALL DON HUNTER SR AIRPORT,US,AK,PADM,61.867,-162.033,31.1,20061024,20191207
702640,26414,SUMMIT,US,AK,PAST,63.331,-149.127,734.3,19730101,19840107
702645,46403,MCKINLEY NATIONAL PARK AIRPORT,US,AK,PAIN,63.733,-148.917,524.3,20060101,20200211
702647,26499,HEALY RIVER AIRPORT,US,AK,PAHV,63.866,-148.969,3945.3,20060101,20120608
702648,46406,CANTWELL AIRPORT,US,AK,PATW,63.391,-148.956,667.5,20060102,20110827
702650,26407,EIELSON AFB AIRPORT,US,AK,PAEI,64.683,-147.083,166.7,20060102,20200211
702670,26415,ALLEN ARMY AIRFIELD,US,AK,PABI,63.994,-145.721,389.2,19451015,20200211
702675,26484,PAXSON AIRPORT,US,AK,PAXK,63.032,-145.498,823,20060101,20101003
702685,27518,ATQASUK EDWARD BURNELL SR. MEMORIAL AIRPORT,US,AK,PATQ,70.467,-157.436,29.3,20060501,20200211
702686,106,KIPNUK AIRPORT,US,AK,PAKI,60.9,-161.233,9.1,20060501,20200211
702695,96402,JONESVILLE MINE AIRPORT,US,AK,PAJV,61.714,-148.909,167.6,20060101,20111102
702697,107,NEW STUYAHOK AIRPORT,US,AK,PANW,59.45,-157.333,92.1,20061010,20200211
702700,489,BRYANT ARMY AIRFIELD HELIPORT,US,AK,PAFR,61.266,-149.653,118.3,20130415,20200211
702710,26425,GULKANA AIRPORT,US,AK,PAGK,62.159,-145.459,476.1,19450101,20200211
702711,26439,SHEEP MOUNTAIN AIRPORT,US,AK,PASP,61.812,-147.507,853.4,20050101,20111101
702715,46407,SKELTON AIRPORT,US,AK,PAZK,61.949,-147.169,1002.5,20060101,20200211
702720,26401,ELMENDORF AFB AIRPORT,US,AK,PAED,61.253,-149.794,64.6,20060101,20200211
702725,26491,LAKE HOOD SEAPLANE BASE,US,AK,PALH,61.178,-149.966,27.4,20020101,20200211
702730,26451,TED STEVENS ANCHORAGE INTL,US,AK,PANC,61.169,-150.028,36.6,19730101,20200211
702735,26409,MERRILL FIELD AIRPORT,US,AK,PAMR,61.217,-149.855,42.1,19450101,20200211
702740,25331,PALMER MUNICIPAL AIRPORT,US,AK,PAAQ,61.596,-149.092,70.1,19990101,20200211
702745,26560,WILLOW AIRPORT,US,AK,PAUO,61.748,-150.054,62.5,20060101,20111101
702746,26497,BIRCHWOOD AIRPORT,US,AK,PABV,61.416,-149.507,29.3,20060101,20200211
702750,26442,NATIONAL WEATHER SERVICE OFFICE,US,AK,PAVW,61.13,-146.352,29,19730101,20140401
702755,46404,MCCARTHY AIRPORT,US,AK,PAMX,61.437,-142.904,466.7,20060101,20140901
702756,26479,VALDEZ PIONEER FIELD AIRPORT,US,AK,PAVD,61.132,-146.244,18.3,20060101,20200211
702757,26444,WHITTIER AIRPORT,US,AK,PAWR,60.783,-148.733,11.9,20060101,20120520
702758,27517,ALPINE AIRSTRIP,US,AK,PALP,70.344,-150.945,5.5,20060101,20200211
702770,26438,SEWARD AIRPORT,US,AK,PAWD,60.128,-149.417,6.7,20060101,20200211
702790,26417,CAPE HINCHINBROOK,US,AK,,60.233,-146.65,56,19740101,19800622
702910,26412,NORTHWAY AIRPORT,US,AK,PAOR,62.962,-141.988,522.1,19450101,20200211
702913,46402,DEVILS MOUNTAIN LODGE AIRPORT,US,AK,PABN,62.402,-142.995,877.8,20060101,20141001
702915,26486,DUFFY'S TAVERN AIRPORT,US,AK,PADT,62.709,-143.981,668.1,20060101,20110701
702923,26440,TANACROSS,US,AK,TSG,63.383,-143.333,472,19440522,19500901
702960,26410,M.K.(MUDHOLE) SMITH ARPT,US,AK,PACV,60.489,-145.451,9.5,19420611,20200211
702980,26445,YAKATAGA,US,AK,PACY,60.083,-142.5,11,19730315,19990706
702986,26557,BIG RIVER LAKE,US,AK,PALV,60.814,-152.297,18.3,20060101,20190808
703050,25623,CAPE HEWENHAM LRRS AIRPORT,US,AK,PAEH,58.65,-162.067,164.9,20060101,20200211
703051,26521,HOLY CROSS AIRPORT,US,AK,PAHC,62.183,-159.767,6.1,20060101,20200211
703052,26652,KALSKAG AIRPORT,US,AK,PALG,61.536,-160.341,16.8,20060117,20200211
703053,26654,RUSSIAN MISSION AIRPORT,US,AK,PARS,61.775,-161.319,15.5,20060101,20200211
703054,108,SCAMMON BAY AIRPORT,US,AK,PACM,61.85,-165.567,4.3,20050929,20200211
703055,109,MANOKOTAK AIRPORT,US,AK,PAMB,58.983,-159.05,15.9,20050929,20200211
703056,26635,MOUNTAIN VILLAGE AIRPORT,US,AK,PAMO,62.095,-163.682,102.7,20060101,20200211
703057,26653,TOKSOOK BAY AIRPORT,US,AK,PAOO,60.541,-165.087,18,20060101,20200211
703058,110,NELSON LAGOON AIRPORT,US,AK,PAOU,56.017,-161.167,4.3,20050930,20200211
703061,25521,IGIUGIG AIRPORT,US,AK,PAIG,59.324,-155.902,27.4,20060101,20200211
703080,25713,ST PAUL ISLAND AIRPORT,US,AK,PASN,57.155,-170.222,10.7,19431105,20200211
703160,25624,COLD BAY AIRPORT,US,AK,PACD,55.221,-162.732,23.8,19420304,20200211
703165,25617,SAND POINT AIRPORT,US,AK,PASD,55.319,-160.521,6.4,20050101,20200211
703210,25513,DILLINGHAM AIRPORT,US,AK,PADL,59.05,-158.517,26.2,20060101,20200211
703260,25503,KING SALMON AIRPORT,US,AK,PAKN,58.683,-156.656,20.4,19420110,20200211
703330,25508,PORT HEIDEN AIRPORT,US,AK,PAPH,56.959,-158.632,26.8,20060101,20200211
703333,25518,CHIGNIK AIRPORT,US,AK,PAJC,56.311,-158.373,5.5,20060101,20191231
703334,25519,EGEGIK AIRPORT,US,AK,PAII,58.185,-157.386,28,20060101,20200211
703400,25506,ILIAMNA AIRPORT,US,AK,PAIL,59.749,-154.909,43.6,19730101,20200211
703406,26546,PORT ALSWORTH AIRPORT,US,AK,PALJ,60.204,-154.316,79.3,20050101,20200211
703407,26553,SLEETMUTE AIRPORT,US,AK,PASL,61.717,-157.15,54.3,20060101,20200211
703410,25507,HOMER AIRPORT,US,AK,PAHO,59.642,-151.491,19.5,19730101,20200211
703430,25402,MIDDLETON ISLAND METEOROLOGY RADAR SITE,US,AK,PAMD,59.433,-146.333,30.5,19450101,20200211
703430,25403,MIDDLETON ISLAND,US,AK,PAMD,59.433,-146.333,14,19771101,19991231
703431,25402,MIDDLETON ISLAND AUT,US,AK,PAMD,59.433,-146.333,14,19730105,19771121
703500,25501,KODIAK AIRPORT,US,AK,PADQ,57.751,-152.486,24.4,19450101,20200211
703605,25604,PLATINUM AIRPORT,US,AK,PAPM,59.011,-161.82,4.6,20060323,20200211
703606,25629,TOGIAK AIRPORT,US,AK,PATG,59.067,-160.367,6.1,20060101,20200211
703610,25339,YAKUTAT AIRPORT,US,AK,PAYA,59.512,-139.671,10.1,19410501,20200211
703620,25335,SKAGWAY AIRPORT,US,AK,PAGY,59.456,-135.324,6.1,19431001,20200211
703621,25516,SELDOVIA AIRPORT,US,AK,PASO,59.443,-151.702,8.8,20060101,20200211
703626,25323,HAINES,US,AK,PAHN,59.243,-135.509,4.6,19960613,20200211
703644,27515,NUIQSUT AIRPORT,US,AK,PAQT,70.212,-151.002,17.4,20060101,20200211
703650,25316,CAPE SPENCER,US,AK,KCSP,58.2,-136.633,27.1,19730101,19891011
703655,26552,HUSLIA AIRPORT,US,AK,PAHL,65.698,-156.351,54.9,20060101,20200211
703670,25322,GUSTAVUS,US,AK,PAGS,58.411,-135.709,12.2,19760801,20200211
703710,25333,SITKA ROCKY GUTIERREZ ARPT,US,AK,PASI,57.048,-135.365,4.3,19730101,20200211
703810,25309,JUNEAU INTERNATIONAL,US,AK,PAJN,58.357,-134.564,4.9,19730101,20200211
703817,25357,ELFIN COVE SEAPLANE BASE,US,AK,PAEL,58.192,-136.344,6.1,20060101,20200211
703830,25310,ANGOON SEAPLANE BASE,US,AK,PAGN,57.499,-134.586,8.5,19730101,20200211
703835,25628,ST. GEORGE AIRPORT,US,AK,PAPB,56.6,-169.565,38.1,20060101,20200211
703855,25369,KAKE AIRPORT,US,AK,PAFE,56.967,-133.9,52.4,20060101,20200211
703860,25329,JAMES A JOHNSON AIRPORT,US,AK,PAPG,56.806,-132.937,32.6,19730101,20200211
703870,25338,WRANGELL AIRPORT,US,AK,PAWG,56.473,-132.387,17.1,20060101,20200211
703880,25315,CAPE DECISION,US,AK,KCDE,56,-134.133,14.9,19730101,19891011
703884,25376,HYDABURG SEAPLANE BASE,US,AK,PAHY,55.206,-132.828,0,20060101,20200205
703886,25348,PORT ALEXANDER SPB,US,AK,PAAP,56.247,-134.645,3.7,20060101,20151117
703888,111,SHAKTOOLIK AIRPORT,US,AK,PFSH,64.37,-161.224,7,20101101,20200211
703894,25367,KLAWOCK AIRPORT,US,AK,PAKW,55.58,-133.075,3.7,20000101,20200211
703920,25317,CRAIG SEAPLANE,US,AK,CGA,55.483,-133.15,0,19730102,19740129
703925,112,KOLIGANEK AIRPORT,US,AK,PAJZ,59.733,-157.267,82.3,20070521,20200211
703950,25325,KETCHIKAN INTL AIRPORT,US,AK,PAKT,55.35,-131.65,24.4,19730101,20200211
703980,25308,ANNETTE ISLAND AIRPORT,US,AK,PANT,55.039,-131.579,33.2,19410714,20191001
703985,25377,METLAKATLA SEAPLANE BASE,US,AK,PAMM,55.131,-131.578,0,20060101,20200211
704090,45709,ATTU,US,AK,,52.833,173.183,21,19430607,19871020
704140,45715,EARECKSON AIR STATION AIRPORT,US,AK,PASY,52.717,174.1,37.2,20050101,20200211
704540,25704,ADAK NAS,US,AK,PADK,51.883,-176.65,5.2,19421030,20200206
704820,25626,NIKOLSKI,US,AK,,52.95,-168.85,21,19420910,19940514
704890,25616,DUTCH HARBOR AIRPORT,US,AK,PADU,53.895,-166.543,3.1,20081124,20200211
704896,25625,PORT MOLLER,US,AK,KPML,56,-160.517,321,19590626,19740306
704897,25515,DRIFTWOOD BAY,US,AK,KDFB,53.967,-166.85,395.9,19730207,19731224
704898,113,ROBERT (BOB) CURTIS MEMORIAL AIRPORT,US,AK,PFNO,66.818,-161.022,17.1,20110525,20200211
720110,53983,LLANO MUNICIPAL AIRPORT,US,TX,KAQO,30.784,-98.662,335.9,20050101,20200211
720113,54829,OAKLAND/TROY AIRPORT,US,MI,KVLL,42.543,-83.178,218.2,20050101,20200211
720120,63837,HILTON HEAD AIRPORT,US,SC,KHXD,32.217,-80.7,7.3,20060101,20200211
720122,114,STARR BROWNING AIRSTRIP,US,MT,K8S0,48.6,-113.117,1419.2,20140731,20150930
720137,4867,MORS MUNI-J.R. WSBRN FD AP,US,IL,KC09,41.425,-88.419,178,20060101,20200211
720141,4868,MARSHALL CO,US,IL,KC75,41.019,-89.386,173.1,20060101,20130430
720151,3049,ALPINE-CASPARIS MUNI ARPT,US,TX,KE38,30.383,-103.683,1375.6,20060101,20200211
720160,63884,KEE FLD,US,WV,KI16,37.601,-81.559,543.5,20060101,20130501
720169,116,WASHINGTON REGIONAL AIRPORT,US,MO,KFYG,38.583,-91,149.1,20120209,20200212
720170,63851,METROPOLIS MUNICIPAL AIRPORT,US,IL,KM30,37.186,-88.751,117,20060101,20200212
720172,53996,MENA INTERMOUNTAIN MUNICIPAL AIRPORT,US,AR,KMEZ,34.545,-94.203,328.9,20060101,20200211
720175,53919,MONTCELO MUNI/ELLIS FLD AP,US,AR,KLLQ,33.636,-91.756,88.4,20050101,20200211
720193,117,LONNIE POOL FIELD WEAVERVILLE AIRPORT,US,CA,KO54,40.747,-122.922,716.3,20101030,20200211
720198,54813,MUNISING LAKESHORE,US,MI,KP53,46.417,-86.65,186.5,20060101,20200211
720202,118,TILLAMOOK AIRPORT,US,OR,KTMK,45.417,-123.817,11.3,20050103,20200211
720254,119,CHEHALIS CENTRALIA AIRPORT,US,WA,KCLS,46.683,-122.983,54.3,20070216,20200211
720257,63835,EARLY COUNTY AIRPORT,US,GA,KBIJ,31.397,-84.895,65.2,20060101,20200212
720258,4997,ISEDOR IVERSON AIRPORT,US,MN,KHZX,46.619,-93.31,374.3,20060101,20200211
720259,63844,MACON CO,US,NC,K1A5,35.223,-83.419,615.7,20060101,20130501
720261,53976,BRIDGEPORT MUNICIPAL ARPT,US,TX,KXBP,33.175,-97.828,259.4,20060101,20200211
720262,94076,MC ELROY AFLD,US,CO,K20V,40.054,-106.369,2258.9,20060101,20130430
720263,63834,ELBERT CO-PATZ FLD AIRPORT,US,GA,K27A,34.095,-82.816,183.8,20050101,20190913
720264,63827,TAZEWELL COUNTY AIRPORT,US,VA,K6V3,37.064,-81.798,808.3,20060101,20130430
720265,63833,THOMAS C RUSSELL FLD ARPT,US,AL,KALX,32.915,-85.963,209.1,20060101,20200212
720266,54809,WARSAW MUNICIPAL AIRPORT,US,IN,KASW,41.275,-85.84,259.1,20060101,20200211
720267,23224,AUBURN MUNICIPAL AIRPORT,US,CA,KAUN,38.955,-121.082,466.7,20060101,20200211
720268,53882,DCATR CO INDUS AIRPK ARPT,US,GA,KBGE,30.983,-84.633,43,20060101,20200212
720269,12982,BROOKS COUNTY AIRPORT,US,TX,KBKS,27.207,-98.121,34.1,20060101,20200211
720271,3044,BIG SRNG MCMHN-WRKLE ARPT,US,TX,KBPG,32.213,-101.521,784.3,20060101,20200212
720272,94282,SKAGIT REGIONAL AIRPORT,US,WA,KBVS,48.467,-122.417,42.7,20060101,20200211
720273,12981,BAY CITY MUNICIPAL AIRPORT,US,TX,KBYY,28.973,-95.863,13.7,20060101,20200212
720274,93799,COLUMBUS CO MUNICIPAL ARPT,US,NC,KCPC,34.273,-78.715,29.9,20060101,20200211
720275,4872,TOLEDO SUBURBAN AIRPORT,US,MI,KDUH,41.736,-83.655,203.9,20060101,20200211
720276,12983,EDINBURG INTL AIRPORT,US,TX,KEBG,26.442,-98.129,24.4,20060101,20200211
720277,63843,SHELBY MUNICIPAL AIRPORT,US,NC,KEHO,35.256,-81.601,258.2,20060101,20200211
720278,3704,EMPORIA-GRENVLE RGNL ARPT,US,VA,KEMV,36.687,-77.483,38.7,20060101,20200211
720279,3705,CURTIS L BROWN JR FLD ARPT,US,NC,KEYF,34.602,-78.578,40.5,20060101,20200211
720281,53969,WILBARGER CO,US,TX,KF05,34.226,-99.284,385.6,20060101,20130430
720282,3736,FIRST FLIGHT AIRPORT,US,NC,KFFA,36.018,-75.671,4,20060101,20200211
720283,4927,FILLMORE COUNTY AIRPORT,US,MN,KFKA,43.677,-92.18,388.9,20060101,20200211
720284,4877,FITCH H BEACH AIRPORT,US,MI,KFPK,42.574,-84.811,267.6,20060101,20200211
720285,3734,MIDDLE PENINSULA REGIONAL AIRPORT,US,VA,KFYJ,37.521,-76.765,7.3,20060101,20200211
720286,53977,GRANBURY MUNICIPAL ARPT,US,TX,KGDJ,32.444,-97.817,237.1,20060101,20200211
720287,53967,GRAYSON COUNTY AIRPORT,US,TX,KGYI,33.714,-96.674,228.3,20060101,20200211
720288,3711,HENDERSON-OXFORD AIRPORT,US,NC,KHNZ,36.361,-78.529,160.6,20060101,20200211
720289,63836,THOMSON-MCDUFFIE CO ARPT,US,GA,KHQU,33.53,-82.516,151.8,20050101,20200211
720291,53970,MESQUITE METROPOLITAN ARPT,US,TX,KHQZ,32.747,-96.531,136.3,20060101,20200211
720293,4989,INDEPENDENCE MUNICIPAL APT,US,IA,KIIB,42.453,-91.948,298.1,20060101,20200211
720294,53898,WASHINGTON-WILKES CO ARPT,US,GA,KIIY,33.78,-82.816,196.6,20061028,20200212
720295,53972,HILLSBORO MUNICIPAL ARPT,US,TX,KINJ,32.084,-97.097,208.8,20060101,20200211
720296,53945,JASPER COUNTY-BELL FLD APT,US,TX,KJAS,30.886,-94.035,64.9,20060101,20200212
720297,3730,WILLIAMSBURG-JAMESTOWN APT,US,VA,KJGG,37.239,-76.716,14.9,20060101,20200211
720298,53971,CHEROKEE COUNTY AIRPORT,US,TX,KJSO,31.869,-95.218,206.4,20060101,20200212
720299,53966,MID-WAY REGIONAL AIRPORT,US,TX,KJWY,32.456,-96.913,228.3,20060101,20200126
720301,63846,PLANTATION AIRPARK,US,GA,KJYL,32.646,-81.596,57.3,20060101,20200211
720302,53963,CRKVIL-RED RIVER CO ARPT,US,TX,KLBR,33.593,-95.064,134.1,20060101,20170326
720303,53973,HEARNE MUNICIPAL AIRPORT,US,TX,KLHB,30.872,-96.622,86.9,20060101,20200211
720304,64752,WINGS FIELD AIRPORT,US,PA,KLOM,40.1,-75.267,92.1,20050101,20200212
720305,53964,DECATUR MUNICIPAL AIRPORT,US,TX,KLUD,33.254,-97.581,319.1,20060101,20200211
720306,53879,LEE'S SUMMIT MUNICIPAL APT,US,MO,KLXT,38.96,-94.371,303.9,20060101,20200211
720307,63804,MADISON CO EXECUTIVE ARPT,US,AL,KMDQ,34.861,-86.557,230.1,20060101,20200212
720308,4992,MILLARD AIRPORT,US,NE,KMLE,41.196,-96.112,319.7,20060101,20200211
720309,4947,MOUNT PLEASANT MUNI ARPT,US,IA,KMPZ,40.947,-91.511,223.7,20060101,20200211
720311,53962,MOUNT PLEASANT RGNL ARPT,US,TX,KOSA,33.096,-94.961,110.6,20060101,20200211
720312,4964,PELLA MUNICIPAL AIRPORT,US,IA,KPEA,41.4,-92.946,269.8,20060101,20200211
720313,3052,PERRY LEFORS FIELD AIRPORT,US,TX,KPPA,35.613,-100.996,989.1,20060101,20200211
720314,93983,PALESTINE MUNICIPAL ARPT,US,TX,KPSN,31.78,-95.706,128.9,20060101,20200212
720315,3045,PERRYTON OCHILTREE CO ARPT,US,TX,KPYX,36.414,-100.75,889.4,20060101,20200211
720316,12984,NUECES COUNTY ARIPORT,US,TX,KRBO,27.779,-97.691,24.1,20060101,20200211
720317,3735,STAFFORD REGIONAL AIRPORT,US,VA,KRMN,38.398,-77.456,64.6,20060101,20200212
720318,53965,GRAHAM MUNICIPAL AIRPORT,US,TX,KRPH,33.11,-98.555,342.3,20060101,20200211
720319,63841,ROBINSON MUNICIPAL AIRPORT,US,IL,KRSV,39.016,-87.65,140.8,20060101,20200211
720320,53981,CLEBURNE MUNICIPAL AIRPORT,US,TX,KCPT,32.354,-97.434,260.3,20060101,20200212
720321,4893,CHEBOYGAN COUNTY AIRPORT,US,MI,KSLH,45.654,-84.519,193.6,20060101,20200211
720322,4129,SANDPOINT AIRPORT,US,ID,KSZT,48.299,-116.56,648.3,20060101,20200211
720323,93947,GILLESPIE CO,US,TX,KT82,30.243,-98.91,516.6,20060101,20200211
